FIPS,State,county_state,fi_rate,number_fi_persons,percent_low_threshold,low_threshold_type,percent_high_threshold,high_threshold_type,percent_fi_below_low_threshold,percent_fi_btwn_threshold,percent_fi_above_threshold,child_fi_rate,child_fi_persons,cost_per_meal,weighted_annual_food_budget_shortfall
1037,AL,"Coosa County, Alabama",0.157,1720,1.3,SNAP,1.85,Other Nutrition Program,0.568,0.269,0.162,0.197,380,3.33,977000
1039,AL,"Covington County, Alabama",0.146,5480,1.3,SNAP,1.85,Other Nutrition Program,0.526,0.181,0.292,0.226,1860,2.93,2740000
1041,AL,"Crenshaw County, Alabama",0.158,2200,1.3,SNAP,1.85,Other Nutrition Program,0.547,0.196,0.257,0.213,670,3.2,1201000
1043,AL,"Cullman County, Alabama",0.118,9660,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.208,0.253,0.201,3690,3.05,5024000
1045,AL,"Dale County, Alabama",0.161,7940,1.3,SNAP,1.85,Other Nutrition Program,0.544,0.166,0.29,0.225,2610,3.1,4199000
1047,AL,"Dallas County, Alabama",0.272,11100,1.3,SNAP,1.85,Other Nutrition Program,0.708,0.171,0.121,0.298,3000,3.05,5771000
1049,AL,"DeKalb County, Alabama",0.124,8840,1.3,SNAP,1.85,Other Nutrition Program,0.65,0.189,0.162,0.228,4000,3.11,4696000
1051,AL,"Elmore County, Alabama",0.133,10740,1.3,SNAP,1.85,Other Nutrition Program,0.426,0.132,0.442,0.195,3570,3.25,5948000
1053,AL,"Escambia County, Alabama",0.184,6930,1.3,SNAP,1.85,Other Nutrition Program,0.598,0.195,0.207,0.241,2020,2.99,3532000
1055,AL,"Etowah County, Alabama",0.146,15010,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.173,0.267,0.228,5140,2.89,7409000
1057,AL,"Fayette County, Alabama",0.144,2400,1.3,SNAP,1.85,Other Nutrition Program,0.581,0.191,0.228,0.222,800,3.13,1282000
1059,AL,"Franklin County, Alabama",0.129,4060,1.3,SNAP,1.85,Other Nutrition Program,0.653,0.127,0.219,0.256,1990,2.74,1898000
1061,AL,"Geneva County, Alabama",0.148,3930,1.3,SNAP,1.85,Other Nutrition Program,0.618,0.118,0.264,0.252,1490,2.86,1916000
1063,AL,"Greene County, Alabama",0.297,2540,1.3,SNAP,1.85,Other Nutrition Program,0.764,0.21,0.026,0.344,690,3.25,1409000
1065,AL,"Hale County, Alabama",0.222,3330,1.3,SNAP,1.85,Other Nutrition Program,0.649,0.177,0.174,0.252,880,3.24,1844000
1067,AL,"Henry County, Alabama",0.142,2430,1.3,SNAP,1.85,Other Nutrition Program,0.569,0.198,0.233,0.196,700,3.15,1308000
1069,AL,"Houston County, Alabama",0.165,17160,1.3,SNAP,1.85,Other Nutrition Program,0.548,0.176,0.276,0.227,5560,3.17,9296000
1071,AL,"Jackson County, Alabama",0.136,7130,1.3,SNAP,1.85,Other Nutrition Program,0.648,0.123,0.229,0.233,2630,3.16,3846000
1073,AL,"Jefferson County, Alabama",0.178,117600,1.3,SNAP,1.85,Other Nutrition Program,0.51,0.148,0.342,0.208,31610,3.11,62512000
1075,AL,"Lamar County, Alabama",0.152,2140,1.3,SNAP,1.85,Other Nutrition Program,0.613,0.188,0.199,0.254,780,3.12,1138000
1077,AL,"Lauderdale County, Alabama",0.14,12950,1.3,SNAP,1.85,Other Nutrition Program,0.499,0.2,0.301,0.214,4010,2.85,6293000
1079,AL,"Lawrence County, Alabama",0.134,4470,1.3,SNAP,1.85,Other Nutrition Program,0.523,0.185,0.293,0.206,1490,3.06,2332000
1081,AL,"Lee County, Alabama",0.17,26560,1.3,SNAP,1.85,Other Nutrition Program,0.576,0.095,0.329,0.207,7010,3.46,15672000
1083,AL,"Limestone County, Alabama",0.122,11190,1.3,SNAP,1.85,Other Nutrition Program,0.484,0.139,0.377,0.196,4170,3.04,5813000
1085,AL,"Lowndes County, Alabama",0.264,2740,1.3,SNAP,1.85,Other Nutrition Program,0.663,0.174,0.164,0.294,700,3.22,1508000
1087,AL,"Macon County, Alabama",0.256,4950,1.3,SNAP,1.85,Other Nutrition Program,0.575,0.197,0.227,0.254,890,3.16,2671000
1089,AL,"Madison County, Alabama",0.138,48830,1.3,SNAP,1.85,Other Nutrition Program,0.445,0.123,0.432,0.191,15080,3.09,25710000
1091,AL,"Marengo County, Alabama",0.22,4330,1.3,SNAP,1.85,Other Nutrition Program,0.631,0.204,0.165,0.248,1120,2.96,2185000
1093,AL,"Marion County, Alabama",0.133,3990,1.3,SNAP,1.85,Other Nutrition Program,0.569,0.186,0.245,0.223,1420,3.11,2120000
1095,AL,"Marshall County, Alabama",0.122,11520,1.3,SNAP,1.85,Other Nutrition Program,0.648,0.13,0.222,0.231,5450,2.9,5696000
1097,AL,"Mobile County, Alabama",0.179,74120,1.3,SNAP,1.85,Other Nutrition Program,0.531,0.159,0.31,0.23,22750,3.17,40045000
1099,AL,"Monroe County, Alabama",0.241,5240,1.3,SNAP,1.85,Other Nutrition Program,0.68,0.141,0.179,0.279,1410,2.96,2649000
1101,AL,"Montgomery County, Alabama",0.207,47040,1.3,SNAP,1.85,Other Nutrition Program,0.554,0.149,0.297,0.224,12070,3.17,25423000
1103,AL,"Morgan County, Alabama",0.129,15380,1.3,SNAP,1.85,Other Nutrition Program,0.519,0.171,0.31,0.211,5800,3.01,7907000
1105,AL,"Perry County, Alabama",0.286,2770,1.3,SNAP,1.85,Other Nutrition Program,0.761,0.126,0.113,0.329,710,3.07,1451000
1107,AL,"Pickens County, Alabama",0.189,3810,1.3,SNAP,1.85,Other Nutrition Program,0.627,0.139,0.234,0.242,1010,3.22,2097000
1109,AL,"Pike County, Alabama",0.21,6980,1.3,SNAP,1.85,Other Nutrition Program,0.587,0.151,0.262,0.245,1610,3.36,4000000
1111,AL,"Randolph County, Alabama",0.153,3450,1.3,SNAP,1.85,Other Nutrition Program,0.583,0.154,0.263,0.23,1130,2.89,1700000
1113,AL,"Russell County, Alabama",0.192,11220,1.3,SNAP,1.85,Other Nutrition Program,0.569,0.175,0.256,0.223,3260,3.05,5849000
1115,AL,"St. Clair County, Alabama",0.117,10160,1.3,SNAP,1.85,Other Nutrition Program,0.5,0.142,0.358,0.193,3870,3.38,5857000
1117,AL,"Shelby County, Alabama",0.093,19340,1.3,SNAP,1.85,Other Nutrition Program,0.378,0.128,0.494,0.159,8010,3.42,11272000
1119,AL,"Sumter County, Alabama",0.277,3620,1.3,SNAP,1.85,Other Nutrition Program,0.703,0.128,0.169,0.284,730,2.94,1816000
1121,AL,"Talladega County, Alabama",0.172,13930,1.3,SNAP,1.85,Other Nutrition Program,0.561,0.196,0.243,0.23,4070,3.23,7688000
1123,AL,"Tallapoosa County, Alabama",0.166,6770,1.3,SNAP,1.85,Other Nutrition Program,0.577,0.165,0.258,0.243,2110,3.13,3621000
1125,AL,"Tuscaloosa County, Alabama",0.164,33580,1.3,SNAP,1.85,Other Nutrition Program,0.49,0.148,0.363,0.198,8500,3.35,19213000
1127,AL,"Walker County, Alabama",0.146,9470,1.3,SNAP,1.85,Other Nutrition Program,0.617,0.117,0.266,0.245,3540,2.81,4538000
1129,AL,"Washington County, Alabama",0.172,2890,1.3,SNAP,1.85,Other Nutrition Program,0.563,0.171,0.266,0.263,1000,3.16,1561000
1131,AL,"Wilcox County, Alabama",0.293,3200,1.3,SNAP,1.85,Other Nutrition Program,0.675,0.173,0.152,0.306,830,3.04,1662000
1133,AL,"Winston County, Alabama",0.131,3140,1.3,SNAP,1.85,Other Nutrition Program,0.603,0.236,0.161,0.24,1210,2.96,1588000
2013,AK,"Aleutians East Borough, Alaska",0.125,420,1.3,SNAP,1.85,Other Nutrition Program,0.644,0.212,0.145,0.163,70,4.09,293000
2016,AK,"Aleutians West Census Area, Alaska",0.123,710,1.3,SNAP,1.85,Other Nutrition Program,0.405,0.277,0.318,0.131,130,6.09,738000
2020,AK,"Anchorage Municipality, Alaska",0.121,36130,1.3,SNAP,1.85,Other Nutrition Program,0.374,0.14,0.486,0.163,12010,3.41,21054000
2050,AK,"Bethel Census Area, Alaska",0.215,3870,1.3,SNAP,1.85,Other Nutrition Program,0.795,0.136,0.07,0.295,1890,3.76,2482000
2060,AK,"Bristol Bay Borough, Alaska",0.122,110,1.3,SNAP,1.85,Other Nutrition Program,0.38,0.168,0.452,0.171,40,3.52,66000
2068,AK,"Denali Borough, Alaska",0.145,330,1.3,SNAP,1.85,Other Nutrition Program,0.578,0.166,0.256,0.174,60,3.52,198000
2070,AK,"Dillingham Census Area, Alaska",0.165,820,1.3,SNAP,1.85,Other Nutrition Program,0.624,0.227,0.149,0.233,360,3.77,527000
2090,AK,"Fairbanks North Star Borough, Alaska",0.125,12470,1.3,SNAP,1.85,Other Nutrition Program,0.355,0.188,0.457,0.163,3940,3.73,7938000
2100,AK,"Haines Borough, Alaska",0.133,340,1.3,SNAP,1.85,Other Nutrition Program,0.364,0.265,0.371,0.212,110,3.52,204000
2105,AK,"Hoonah-Angoon Census Area, Alaska",0.159,340,1.3,SNAP,1.85,Other Nutrition Program,0.502,0.193,0.305,0.258,90,3.34,194000
2110,AK,"Juneau City and Borough, Alaska",0.103,3350,1.3,SNAP,1.85,Other Nutrition Program,0.356,0.065,0.579,0.151,1070,3.32,1897000
2122,AK,"Kenai Peninsula Borough, Alaska",0.136,7880,1.3,SNAP,1.85,Other Nutrition Program,0.488,0.14,0.372,0.196,2620,4.09,5498000
2130,AK,"Ketchikan Gateway Borough, Alaska",0.13,1790,1.3,SNAP,1.85,Other Nutrition Program,0.406,0.143,0.451,0.184,560,3.35,1023000
2150,AK,"Kodiak Island Borough, Alaska",0.115,1580,1.3,SNAP,1.85,Other Nutrition Program,0.418,0.287,0.295,0.162,580,3.53,953000
2158,AK,"Kusilvak Census Area, Alaska",0.274,2230,1.3,SNAP,1.85,Other Nutrition Program,0.954,0.046,0,0.381,1230,4.1,1559000
2164,AK,"Lake and Peninsula Borough, Alaska",0.179,230,1.3,SNAP,1.85,Other Nutrition Program,0.673,0.195,0.132,0.244,90,3.52,138000
2170,AK,"Matanuska-Susitna Borough, Alaska",0.128,12900,1.3,SNAP,1.85,Other Nutrition Program,0.413,0.152,0.435,0.185,5100,3.82,8412000
2180,AK,"Nome Census Area, Alaska",0.206,2030,1.3,SNAP,1.85,Other Nutrition Program,0.696,0.176,0.128,0.277,940,4.1,1420000
2185,AK,"North Slope Borough, Alaska",0.142,1390,1.3,SNAP,1.85,Other Nutrition Program,0.455,0.155,0.39,0.194,480,3.77,894000
2188,AK,"Northwest Arctic Borough, Alaska",0.229,1770,1.3,SNAP,1.85,Other Nutrition Program,0.68,0.174,0.146,0.319,860,3.7,1117000
2195,AK,"Petersburg Borough, Alaska",0.126,410,1.3,SNAP,1.85,Other Nutrition Program,0.355,0.202,0.443,0.187,140,3.54,247000
2198,AK,"Prince of Wales-Hyder Census Area, Alaska",0.165,1070,1.3,SNAP,1.85,Other Nutrition Program,0.586,0.11,0.303,0.247,380,3.34,609000
2220,AK,"Sitka City and Borough, Alaska",0.12,1060,1.3,SNAP,1.85,Other Nutrition Program,0.406,0.099,0.495,0.159,310,3.5,633000
2230,AK,"Skagway Municipality, Alaska",0.144,150,1.3,SNAP,1.85,Other Nutrition Program,0.314,0.172,0.514,0.188,30,3.44,88000
2240,AK,"Southeast Fairbanks Census Area, Alaska",0.154,1060,1.3,SNAP,1.85,Other Nutrition Program,0.465,0.241,0.294,0.221,410,3.53,638000
2261,AK,"Valdez-Cordova Census Area, Alaska",0.115,1090,1.3,SNAP,1.85,Other Nutrition Program,0.347,0.172,0.481,0.165,370,3.52,654000
2275,AK,"Wrangell City and Borough, Alaska",0.14,350,1.3,SNAP,1.85,Other Nutrition Program,0.492,0.262,0.246,0.2,100,3.57,213000
2282,AK,"Yakutat City and Borough, Alaska",0.136,90,1.3,SNAP,1.85,Other Nutrition Program,0.493,0.372,0.135,0.193,30,3.64,56000
2290,AK,"Yukon-Koyukuk Census Area, Alaska",0.232,1270,1.3,SNAP,1.85,Other Nutrition Program,0.676,0.141,0.183,0.333,510,3.56,772000
4001,AZ,"Apache County, Arizona",0.242,17330,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.838,,0.162,0.342,6950,3.08,9109000
4003,AZ,"Cochise County, Arizona",0.139,17580,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.69,,0.31,0.225,6300,2.89,8677000
4005,AZ,"Coconino County, Arizona",0.18,24950,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.64,,0.36,0.233,6960,3.23,13770000
4007,AZ,"Gila County, Arizona",0.168,8950,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.763,,0.237,0.271,2940,3.09,4725000
4009,AZ,"Graham County, Arizona",0.147,5540,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.67,,0.33,0.238,2460,2.94,2781000
4011,AZ,"Greenlee County, Arizona",0.116,1090,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.727,,0.273,0.195,520,2.97,552000
4012,AZ,"La Paz County, Arizona",0.149,3050,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.857,,0.143,0.259,880,3.05,1586000
4013,AZ,"Maricopa County, Arizona",0.137,571060,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.66,,0.34,0.204,210760,3.08,300180000
4015,AZ,"Mohave County, Arizona",0.168,34330,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.724,,0.276,0.247,9210,3.06,17898000
4017,AZ,"Navajo County, Arizona",0.209,22590,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.785,,0.215,0.299,8910,2.94,11322000
4019,AZ,"Pima County, Arizona",0.136,137450,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.719,,0.281,0.212,46370,3.02,70894000
4021,AZ,"Pinal County, Arizona",0.133,54010,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.669,,0.331,0.213,20590,2.92,26943000
4023,AZ,"Santa Cruz County, Arizona",0.096,4440,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",1,,0,0.241,3120,2.54,1922000
4025,AZ,"Yavapai County, Arizona",0.149,32870,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.638,,0.362,0.213,8090,3.19,17872000
4027,AZ,"Yuma County, Arizona",0.161,32820,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.822,,0.178,0.307,16260,2.7,15144000
5001,AR,"Arkansas County, Arkansas",0.194,3550,1.3,SNAP,1.85,Other Nutrition Program,0.584,0.183,0.233,0.238,1000,3.05,1850000
5003,AR,"Ashley County, Arkansas",0.194,4030,1.3,SNAP,1.85,Other Nutrition Program,0.595,0.196,0.209,0.263,1270,2.99,2055000
5005,AR,"Baxter County, Arkansas",0.139,5720,1.3,SNAP,1.85,Other Nutrition Program,0.459,0.231,0.31,0.223,1610,3.1,3022000
5007,AR,"Benton County, Arkansas",0.111,27900,1.3,SNAP,1.85,Other Nutrition Program,0.443,0.18,0.377,0.189,12830,2.96,14113000
5009,AR,"Boone County, Arkansas",0.146,5420,1.3,SNAP,1.85,Other Nutrition Program,0.553,0.221,0.226,0.234,1980,2.59,2391000
5011,AR,"Bradley County, Arkansas",0.201,2220,1.3,SNAP,1.85,Other Nutrition Program,0.681,0.107,0.212,0.273,710,2.95,1117000
5013,AR,"Calhoun County, Arkansas",0.171,890,1.3,SNAP,1.85,Other Nutrition Program,0.629,0.165,0.206,0.252,250,2.9,441000
5015,AR,"Carroll County, Arkansas",0.123,3430,1.3,SNAP,1.85,Other Nutrition Program,0.593,0.151,0.256,0.216,1340,3.07,1796000
5017,AR,"Chicot County, Arkansas",0.257,2830,1.3,SNAP,1.85,Other Nutrition Program,0.671,0.162,0.167,0.286,700,2.9,1400000
5019,AR,"Clark County, Arkansas",0.195,4390,1.3,SNAP,1.85,Other Nutrition Program,0.517,0.134,0.35,0.241,1040,3.07,2297000
5021,AR,"Clay County, Arkansas",0.173,2630,1.3,SNAP,1.85,Other Nutrition Program,0.612,0.167,0.221,0.269,900,2.61,1174000
5023,AR,"Cleburne County, Arkansas",0.149,3780,1.3,SNAP,1.85,Other Nutrition Program,0.497,0.146,0.357,0.243,1190,3.15,2033000
5025,AR,"Cleveland County, Arkansas",0.17,1420,1.3,SNAP,1.85,Other Nutrition Program,0.508,0.143,0.35,0.258,490,2.96,716000
5027,AR,"Columbia County, Arkansas",0.221,5310,1.3,SNAP,1.85,Other Nutrition Program,0.581,0.104,0.315,0.263,1340,2.94,2668000
5029,AR,"Conway County, Arkansas",0.171,3590,1.3,SNAP,1.85,Other Nutrition Program,0.541,0.19,0.269,0.251,1210,2.8,1713000
5031,AR,"Craighead County, Arkansas",0.172,17980,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.129,0.332,0.226,5850,2.74,8411000
5033,AR,"Crawford County, Arkansas",0.138,8600,1.3,SNAP,1.85,Other Nutrition Program,0.561,0.184,0.255,0.228,3540,2.96,4350000
5035,AR,"Crittenden County, Arkansas",0.238,11750,1.3,SNAP,1.85,Other Nutrition Program,0.621,0.175,0.203,0.261,3560,2.95,5916000
5037,AR,"Cross County, Arkansas",0.185,3170,1.3,SNAP,1.85,Other Nutrition Program,0.605,0.175,0.22,0.239,990,2.77,1501000
5039,AR,"Dallas County, Arkansas",0.193,1460,1.3,SNAP,1.85,Other Nutrition Program,0.431,0.278,0.291,0.209,360,2.94,732000
5041,AR,"Desha County, Arkansas",0.256,3100,1.3,SNAP,1.85,Other Nutrition Program,0.761,0.1,0.138,0.296,920,2.89,1529000
5043,AR,"Drew County, Arkansas",0.212,3960,1.3,SNAP,1.85,Other Nutrition Program,0.596,0.103,0.301,0.252,1030,2.99,2022000
5045,AR,"Faulkner County, Arkansas",0.162,19680,1.3,SNAP,1.85,Other Nutrition Program,0.514,0.126,0.361,0.204,5820,3.02,10149000
5047,AR,"Franklin County, Arkansas",0.16,2850,1.3,SNAP,1.85,Other Nutrition Program,0.642,0.087,0.271,0.256,1060,2.84,1383000
5049,AR,"Fulton County, Arkansas",0.165,2000,1.3,SNAP,1.85,Other Nutrition Program,0.624,0.139,0.237,0.283,690,2.88,981000
5051,AR,"Garland County, Arkansas",0.166,16280,1.3,SNAP,1.85,Other Nutrition Program,0.568,0.105,0.327,0.248,4970,2.98,8277000
5053,AR,"Grant County, Arkansas",0.134,2430,1.3,SNAP,1.85,Other Nutrition Program,0.533,0.148,0.319,0.211,880,3.1,1285000
5055,AR,"Greene County, Arkansas",0.151,6670,1.3,SNAP,1.85,Other Nutrition Program,0.499,0.17,0.331,0.232,2490,2.66,3025000
5057,AR,"Hempstead County, Arkansas",0.191,4230,1.3,SNAP,1.85,Other Nutrition Program,0.668,0.152,0.18,0.252,1450,2.68,1938000
5059,AR,"Hot Spring County, Arkansas",0.156,5210,1.3,SNAP,1.85,Other Nutrition Program,0.492,0.202,0.306,0.219,1540,3.03,2697000
5061,AR,"Howard County, Arkansas",0.171,2310,1.3,SNAP,1.85,Other Nutrition Program,0.689,0.139,0.172,0.25,870,2.91,1147000
5063,AR,"Independence County, Arkansas",0.155,5740,1.3,SNAP,1.85,Other Nutrition Program,0.576,0.151,0.273,0.244,2160,2.84,2779000
5065,AR,"Izard County, Arkansas",0.158,2130,1.3,SNAP,1.85,Other Nutrition Program,0.509,0.178,0.313,0.266,650,2.94,1070000
5067,AR,"Jackson County, Arkansas",0.204,3550,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.137,0.324,0.297,1050,2.79,1692000
5069,AR,"Jefferson County, Arkansas",0.247,17620,1.3,SNAP,1.85,Other Nutrition Program,0.579,0.127,0.293,0.271,4410,2.89,8697000
5071,AR,"Johnson County, Arkansas",0.154,4020,1.3,SNAP,1.85,Other Nutrition Program,0.634,0.162,0.204,0.247,1580,2.87,1965000
5073,AR,"Lafayette County, Arkansas",0.219,1540,1.3,SNAP,1.85,Other Nutrition Program,0.581,0.183,0.236,0.258,360,3.01,790000
5075,AR,"Lawrence County, Arkansas",0.161,2710,1.3,SNAP,1.85,Other Nutrition Program,0.582,0.124,0.294,0.23,860,2.77,1283000
5077,AR,"Lee County, Arkansas",0.262,2520,1.3,SNAP,1.85,Other Nutrition Program,0.612,0.126,0.263,0.261,480,2.81,1210000
5079,AR,"Lincoln County, Arkansas",0.185,2570,1.3,SNAP,1.85,Other Nutrition Program,0.395,0.146,0.459,0.225,560,2.88,1264000
5081,AR,"Little River County, Arkansas",0.184,2300,1.3,SNAP,1.85,Other Nutrition Program,0.568,0.221,0.211,0.244,680,2.89,1133000
5083,AR,"Logan County, Arkansas",0.16,3490,1.3,SNAP,1.85,Other Nutrition Program,0.603,0.152,0.246,0.251,1230,2.9,1729000
5085,AR,"Lonoke County, Arkansas",0.139,9940,1.3,SNAP,1.85,Other Nutrition Program,0.435,0.165,0.399,0.209,3930,3.14,5320000
5087,AR,"Madison County, Arkansas",0.139,2210,1.3,SNAP,1.85,Other Nutrition Program,0.644,0.13,0.225,0.22,830,2.95,1114000
5089,AR,"Marion County, Arkansas",0.153,2510,1.3,SNAP,1.85,Other Nutrition Program,0.582,0.212,0.207,0.256,750,2.93,1256000
5091,AR,"Miller County, Arkansas",0.197,8610,1.3,SNAP,1.85,Other Nutrition Program,0.566,0.134,0.301,0.252,2640,3.03,4455000
5093,AR,"Mississippi County, Arkansas",0.233,10160,1.3,SNAP,1.85,Other Nutrition Program,0.632,0.184,0.184,0.282,3270,2.79,4840000
5095,AR,"Monroe County, Arkansas",0.238,1770,1.3,SNAP,1.85,Other Nutrition Program,0.736,0.056,0.208,0.291,450,2.76,835000
5097,AR,"Montgomery County, Arkansas",0.149,1350,1.3,SNAP,1.85,Other Nutrition Program,0.578,0.218,0.204,0.254,440,2.94,677000
5099,AR,"Nevada County, Arkansas",0.202,1720,1.3,SNAP,1.85,Other Nutrition Program,0.655,0.142,0.203,0.25,480,2.86,839000
5101,AR,"Newton County, Arkansas",0.142,1120,1.3,SNAP,1.85,Other Nutrition Program,0.625,0.209,0.167,0.23,360,2.88,551000
5103,AR,"Ouachita County, Arkansas",0.229,5570,1.3,SNAP,1.85,Other Nutrition Program,0.666,0.136,0.197,0.278,1540,2.82,2680000
5105,AR,"Perry County, Arkansas",0.147,1520,1.3,SNAP,1.85,Other Nutrition Program,0.534,0.113,0.352,0.251,580,3.11,808000
5107,AR,"Phillips County, Arkansas",0.295,5750,1.3,SNAP,1.85,Other Nutrition Program,0.758,0.154,0.089,0.316,1630,2.92,2869000
5109,AR,"Pike County, Arkansas",0.147,1600,1.3,SNAP,1.85,Other Nutrition Program,0.614,0.2,0.187,0.229,560,2.94,804000
5111,AR,"Poinsett County, Arkansas",0.176,4240,1.3,SNAP,1.85,Other Nutrition Program,0.609,0.17,0.221,0.268,1540,2.62,1894000
5113,AR,"Polk County, Arkansas",0.17,3440,1.3,SNAP,1.85,Other Nutrition Program,0.658,0.176,0.166,0.27,1280,2.93,1721000
5115,AR,"Pope County, Arkansas",0.16,10130,1.3,SNAP,1.85,Other Nutrition Program,0.557,0.151,0.292,0.236,3390,2.86,4945000
5117,AR,"Prairie County, Arkansas",0.169,1400,1.3,SNAP,1.85,Other Nutrition Program,0.555,0.231,0.213,0.234,400,2.94,702000
5119,AR,"Pulaski County, Arkansas",0.193,75980,1.3,SNAP,1.85,Other Nutrition Program,0.513,0.151,0.336,0.222,20560,3.14,40657000
5121,AR,"Randolph County, Arkansas",0.165,2890,1.3,SNAP,1.85,Other Nutrition Program,0.59,0.156,0.253,0.253,1020,2.75,1355000
5123,AR,"St. Francis County, Arkansas",0.257,6860,1.3,SNAP,1.85,Other Nutrition Program,0.6,0.152,0.247,0.283,1690,2.7,3166000
5125,AR,"Saline County, Arkansas",0.119,13850,1.3,SNAP,1.85,Other Nutrition Program,0.342,0.201,0.458,0.184,5090,3.23,7625000
5127,AR,"Scott County, Arkansas",0.149,1580,1.3,SNAP,1.85,Other Nutrition Program,0.673,0.17,0.156,0.249,630,2.89,778000
5129,AR,"Searcy County, Arkansas",0.151,1190,1.3,SNAP,1.85,Other Nutrition Program,0.603,0.242,0.155,0.225,360,2.86,580000
5131,AR,"Sebastian County, Arkansas",0.165,20970,1.3,SNAP,1.85,Other Nutrition Program,0.611,0.132,0.257,0.249,7720,2.81,10071000
5133,AR,"Sevier County, Arkansas",0.121,2080,1.3,SNAP,1.85,Other Nutrition Program,0.65,0.175,0.175,0.233,1160,2.89,1026000
