FIPS,State,"County, State",2017 Food Insecurity Rate,# of Food Insecure Persons in 2017,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2017 Child food insecurity rate,# of Food Insecure Children in 2017,% food insecure children in HH w/ HH incomes below 185 FPL in 2017,% food insecure children in HH w/ HH incomes above 185 FPL in 2017,2017 Cost Per Meal,2017 Weighted Annual Food Budget Shortfall
1049,AL,"DeKalb County, Alabama",12.4%," 8,840 ",130%,SNAP,185%,Other Nutrition Program,65.0%,18.9%,16.2%,22.8%," 4,000 ",88%,12%,$3.11,"$4,696,000.00"
1051,AL,"Elmore County, Alabama",13.3%," 10,740 ",130%,SNAP,185%,Other Nutrition Program,42.6%,13.2%,44.2%,19.5%," 3,570 ",65%,35%,$3.25,"$5,948,000.00"
1053,AL,"Escambia County, Alabama",18.4%," 6,930 ",130%,SNAP,185%,Other Nutrition Program,59.8%,19.5%,20.7%,24.1%," 2,020 ",86%,14%,$2.99,"$3,532,000.00"
1055,AL,"Etowah County, Alabama",14.6%," 15,010 ",130%,SNAP,185%,Other Nutrition Program,56.0%,17.3%,26.7%,22.8%," 5,140 ",77%,23%,$2.89,"$7,409,000.00"
1057,AL,"Fayette County, Alabama",14.4%," 2,400 ",130%,SNAP,185%,Other Nutrition Program,58.1%,19.1%,22.8%,22.2%, 800 ,81%,19%,$3.13,"$1,282,000.00"
1059,AL,"Franklin County, Alabama",12.9%," 4,060 ",130%,SNAP,185%,Other Nutrition Program,65.3%,12.7%,21.9%,25.6%," 1,990 ",80%,20%,$2.74,"$1,898,000.00"
1061,AL,"Geneva County, Alabama",14.8%," 3,930 ",130%,SNAP,185%,Other Nutrition Program,61.8%,11.8%,26.4%,25.2%," 1,490 ",75%,25%,$2.86,"$1,916,000.00"
1063,AL,"Greene County, Alabama",29.7%," 2,540 ",130%,SNAP,185%,Other Nutrition Program,76.4%,21.0%,2.6%,34.4%, 690 ,79%,21%,$3.25,"$1,409,000.00"
1065,AL,"Hale County, Alabama",22.2%," 3,330 ",130%,SNAP,185%,Other Nutrition Program,64.9%,17.7%,17.4%,25.2%, 880 ,78%,22%,$3.24,"$1,844,000.00"
1067,AL,"Henry County, Alabama",14.2%," 2,430 ",130%,SNAP,185%,Other Nutrition Program,56.9%,19.8%,23.3%,19.6%, 700 ,86%,14%,$3.15,"$1,308,000.00"
1069,AL,"Houston County, Alabama",16.5%," 17,160 ",130%,SNAP,185%,Other Nutrition Program,54.8%,17.6%,27.6%,22.7%," 5,560 ",73%,27%,$3.17,"$9,296,000.00"
1071,AL,"Jackson County, Alabama",13.6%," 7,130 ",130%,SNAP,185%,Other Nutrition Program,64.8%,12.3%,22.9%,23.3%," 2,630 ",90%,10%,$3.16,"$3,846,000.00"
1073,AL,"Jefferson County, Alabama",17.8%," 117,600 ",130%,SNAP,185%,Other Nutrition Program,51.0%,14.8%,34.2%,20.8%," 31,610 ",67%,33%,$3.11,"$62,512,000.00"
1075,AL,"Lamar County, Alabama",15.2%," 2,140 ",130%,SNAP,185%,Other Nutrition Program,61.3%,18.8%,19.9%,25.4%, 780 ,92%,8%,$3.12,"$1,138,000.00"
1077,AL,"Lauderdale County, Alabama",14.0%," 12,950 ",130%,SNAP,185%,Other Nutrition Program,49.9%,20.0%,30.1%,21.4%," 4,010 ",81%,19%,$2.85,"$6,293,000.00"
1079,AL,"Lawrence County, Alabama",13.4%," 4,470 ",130%,SNAP,185%,Other Nutrition Program,52.3%,18.5%,29.3%,20.6%," 1,490 ",84%,16%,$3.06,"$2,332,000.00"
1081,AL,"Lee County, Alabama",17.0%," 26,560 ",130%,SNAP,185%,Other Nutrition Program,57.6%,9.5%,32.9%,20.7%," 7,010 ",70%,31%,$3.46,"$15,672,000.00"
1083,AL,"Limestone County, Alabama",12.2%," 11,190 ",130%,SNAP,185%,Other Nutrition Program,48.4%,13.9%,37.7%,19.6%," 4,170 ",68%,32%,$3.04,"$5,813,000.00"
1085,AL,"Lowndes County, Alabama",26.4%," 2,740 ",130%,SNAP,185%,Other Nutrition Program,66.3%,17.4%,16.4%,29.4%, 700 ,77%,24%,$3.22,"$1,508,000.00"
1087,AL,"Macon County, Alabama",25.6%," 4,950 ",130%,SNAP,185%,Other Nutrition Program,57.5%,19.7%,22.7%,25.4%, 890 ,73%,27%,$3.16,"$2,671,000.00"
1089,AL,"Madison County, Alabama",13.8%," 48,830 ",130%,SNAP,185%,Other Nutrition Program,44.5%,12.3%,43.2%,19.1%," 15,080 ",60%,40%,$3.09,"$25,710,000.00"
1091,AL,"Marengo County, Alabama",22.0%," 4,330 ",130%,SNAP,185%,Other Nutrition Program,63.1%,20.4%,16.5%,24.8%," 1,120 ",84%,16%,$2.96,"$2,185,000.00"
1093,AL,"Marion County, Alabama",13.3%," 3,990 ",130%,SNAP,185%,Other Nutrition Program,56.9%,18.6%,24.5%,22.3%," 1,420 ",82%,19%,$3.11,"$2,120,000.00"
1095,AL,"Marshall County, Alabama",12.2%," 11,520 ",130%,SNAP,185%,Other Nutrition Program,64.8%,13.0%,22.2%,23.1%," 5,450 ",82%,18%,$2.90,"$5,696,000.00"
1097,AL,"Mobile County, Alabama",17.9%," 74,120 ",130%,SNAP,185%,Other Nutrition Program,53.1%,15.9%,31.0%,23.0%," 22,750 ",71%,30%,$3.17,"$40,045,000.00"
1099,AL,"Monroe County, Alabama",24.1%," 5,240 ",130%,SNAP,185%,Other Nutrition Program,68.0%,14.1%,17.9%,27.9%," 1,410 ",74%,26%,$2.96,"$2,649,000.00"
1101,AL,"Montgomery County, Alabama",20.7%," 47,040 ",130%,SNAP,185%,Other Nutrition Program,55.4%,14.9%,29.7%,22.4%," 12,070 ",68%,32%,$3.17,"$25,423,000.00"
1103,AL,"Morgan County, Alabama",12.9%," 15,380 ",130%,SNAP,185%,Other Nutrition Program,51.9%,17.1%,31.0%,21.1%," 5,800 ",74%,26%,$3.01,"$7,907,000.00"
1105,AL,"Perry County, Alabama",28.6%," 2,770 ",130%,SNAP,185%,Other Nutrition Program,76.1%,12.6%,11.3%,32.9%, 710 ,81%,19%,$3.07,"$1,451,000.00"
1107,AL,"Pickens County, Alabama",18.9%," 3,810 ",130%,SNAP,185%,Other Nutrition Program,62.7%,13.9%,23.4%,24.2%," 1,010 ",78%,22%,$3.22,"$2,097,000.00"
1109,AL,"Pike County, Alabama",21.0%," 6,980 ",130%,SNAP,185%,Other Nutrition Program,58.7%,15.1%,26.2%,24.5%," 1,610 ",76%,24%,$3.36,"$4,000,000.00"
1111,AL,"Randolph County, Alabama",15.3%," 3,450 ",130%,SNAP,185%,Other Nutrition Program,58.3%,15.4%,26.3%,23.0%," 1,130 ",80%,20%,$2.89,"$1,700,000.00"
1113,AL,"Russell County, Alabama",19.2%," 11,220 ",130%,SNAP,185%,Other Nutrition Program,56.9%,17.5%,25.6%,22.3%," 3,260 ",69%,31%,$3.05,"$5,849,000.00"
1115,AL,"St. Clair County, Alabama",11.7%," 10,160 ",130%,SNAP,185%,Other Nutrition Program,50.0%,14.2%,35.8%,19.3%," 3,870 ",75%,25%,$3.38,"$5,857,000.00"
1117,AL,"Shelby County, Alabama",9.3%," 19,340 ",130%,SNAP,185%,Other Nutrition Program,37.8%,12.8%,49.4%,15.9%," 8,010 ",50%,50%,$3.42,"$11,272,000.00"
1119,AL,"Sumter County, Alabama",27.7%," 3,620 ",130%,SNAP,185%,Other Nutrition Program,70.3%,12.8%,16.9%,28.4%, 730 ,74%,26%,$2.94,"$1,816,000.00"
1121,AL,"Talladega County, Alabama",17.2%," 13,930 ",130%,SNAP,185%,Other Nutrition Program,56.1%,19.6%,24.3%,23.0%," 4,070 ",77%,23%,$3.23,"$7,688,000.00"
1123,AL,"Tallapoosa County, Alabama",16.6%," 6,770 ",130%,SNAP,185%,Other Nutrition Program,57.7%,16.5%,25.8%,24.3%," 2,110 ",79%,21%,$3.13,"$3,621,000.00"
1125,AL,"Tuscaloosa County, Alabama",16.4%," 33,580 ",130%,SNAP,185%,Other Nutrition Program,49.0%,14.8%,36.3%,19.8%," 8,500 ",67%,33%,$3.35,"$19,213,000.00"
1127,AL,"Walker County, Alabama",14.6%," 9,470 ",130%,SNAP,185%,Other Nutrition Program,61.7%,11.7%,26.6%,24.5%," 3,540 ",83%,17%,$2.81,"$4,538,000.00"
1129,AL,"Washington County, Alabama",17.2%," 2,890 ",130%,SNAP,185%,Other Nutrition Program,56.3%,17.1%,26.6%,26.3%," 1,000 ",77%,24%,$3.16,"$1,561,000.00"
1131,AL,"Wilcox County, Alabama",29.3%," 3,200 ",130%,SNAP,185%,Other Nutrition Program,67.5%,17.3%,15.2%,30.6%, 830 ,80%,21%,$3.04,"$1,662,000.00"
1133,AL,"Winston County, Alabama",13.1%," 3,140 ",130%,SNAP,185%,Other Nutrition Program,60.3%,23.6%,16.1%,24.0%," 1,210 ",97%,3%,$2.96,"$1,588,000.00"
2013,AK,"Aleutians East Borough, Alaska",12.5%, 420 ,130%,SNAP,185%,Other Nutrition Program,64.4%,21.2%,14.5%,16.3%, 70 ,59%,41%,$4.09,"$293,000.00"
2016,AK,"Aleutians West Census Area, Alaska",12.3%, 710 ,130%,SNAP,185%,Other Nutrition Program,40.5%,27.7%,31.8%,13.1%, 130 ,44%,57%,$6.09,"$738,000.00"
2020,AK,"Anchorage Municipality, Alaska",12.1%," 36,130 ",130%,SNAP,185%,Other Nutrition Program,37.4%,14.0%,48.6%,16.3%," 12,010 ",51%,49%,$3.41,"$21,054,000.00"
2050,AK,"Bethel Census Area, Alaska",21.5%," 3,870 ",130%,SNAP,185%,Other Nutrition Program,79.5%,13.6%,7.0%,29.5%," 1,890 ",93%,7%,$3.76,"$2,482,000.00"
2060,AK,"Bristol Bay Borough, Alaska",12.2%, 110 ,130%,SNAP,185%,Other Nutrition Program,38.0%,16.8%,45.2%,17.1%, 40 ,48%,52%,$3.52,"$66,000.00"
2068,AK,"Denali Borough, Alaska",14.5%, 330 ,130%,SNAP,185%,Other Nutrition Program,57.8%,16.6%,25.6%,17.4%, 60 ,38%,63%,$3.52,"$198,000.00"
2070,AK,"Dillingham Census Area, Alaska",16.5%, 820 ,130%,SNAP,185%,Other Nutrition Program,62.4%,22.7%,14.9%,23.3%, 360 ,83%,17%,$3.77,"$527,000.00"
2090,AK,"Fairbanks North Star Borough, Alaska",12.5%," 12,470 ",130%,SNAP,185%,Other Nutrition Program,35.5%,18.8%,45.7%,16.3%," 3,940 ",57%,43%,$3.73,"$7,938,000.00"
2100,AK,"Haines Borough, Alaska",13.3%, 340 ,130%,SNAP,185%,Other Nutrition Program,36.4%,26.5%,37.1%,21.2%, 110 ,48%,52%,$3.52,"$204,000.00"
2105,AK,"Hoonah-Angoon Census Area, Alaska",15.9%, 340 ,130%,SNAP,185%,Other Nutrition Program,50.2%,19.3%,30.5%,25.8%, 90 ,84%,16%,$3.34,"$194,000.00"
2110,AK,"Juneau City and Borough, Alaska",10.3%," 3,350 ",130%,SNAP,185%,Other Nutrition Program,35.6%,6.5%,57.9%,15.1%," 1,070 ",42%,58%,$3.32,"$1,897,000.00"
2122,AK,"Kenai Peninsula Borough, Alaska",13.6%," 7,880 ",130%,SNAP,185%,Other Nutrition Program,48.8%,14.0%,37.2%,19.6%," 2,620 ",66%,34%,$4.09,"$5,498,000.00"
2130,AK,"Ketchikan Gateway Borough, Alaska",13.0%," 1,790 ",130%,SNAP,185%,Other Nutrition Program,40.6%,14.3%,45.1%,18.4%, 560 ,52%,48%,$3.35,"$1,023,000.00"
2150,AK,"Kodiak Island Borough, Alaska",11.5%," 1,580 ",130%,SNAP,185%,Other Nutrition Program,41.8%,28.7%,29.5%,16.2%, 580 ,70%,30%,$3.53,"$953,000.00"
2158,AK,"Kusilvak Census Area, Alaska",27.4%," 2,230 ",130%,SNAP,185%,Other Nutrition Program,95.4%,4.6%,0.0%,38.1%," 1,230 ",100%,0%,$4.10,"$1,559,000.00"
2164,AK,"Lake and Peninsula Borough, Alaska",17.9%, 230 ,130%,SNAP,185%,Other Nutrition Program,67.3%,19.5%,13.2%,24.4%, 90 ,77%,23%,$3.52,"$138,000.00"
2170,AK,"Matanuska-Susitna Borough, Alaska",12.8%," 12,900 ",130%,SNAP,185%,Other Nutrition Program,41.3%,15.2%,43.5%,18.5%," 5,100 ",53%,47%,$3.82,"$8,412,000.00"
2180,AK,"Nome Census Area, Alaska",20.6%," 2,030 ",130%,SNAP,185%,Other Nutrition Program,69.6%,17.6%,12.8%,27.7%, 940 ,84%,17%,$4.10,"$1,420,000.00"
2185,AK,"North Slope Borough, Alaska",14.2%," 1,390 ",130%,SNAP,185%,Other Nutrition Program,45.5%,15.5%,39.0%,19.4%, 480 ,66%,34%,$3.77,"$894,000.00"
2188,AK,"Northwest Arctic Borough, Alaska",22.9%," 1,770 ",130%,SNAP,185%,Other Nutrition Program,68.0%,17.4%,14.6%,31.9%, 860 ,82%,18%,$3.70,"$1,117,000.00"
2195,AK,"Petersburg Borough, Alaska",12.6%, 410 ,130%,SNAP,185%,Other Nutrition Program,35.5%,20.2%,44.3%,18.7%, 140 ,62%,38%,$3.54,"$247,000.00"
2198,AK,"Prince of Wales-Hyder Census Area, Alaska",16.5%," 1,070 ",130%,SNAP,185%,Other Nutrition Program,58.6%,11.0%,30.3%,24.7%, 380 ,68%,33%,$3.34,"$609,000.00"
2220,AK,"Sitka City and Borough, Alaska",12.0%," 1,060 ",130%,SNAP,185%,Other Nutrition Program,40.6%,9.9%,49.5%,15.9%, 310 ,50%,50%,$3.50,"$633,000.00"
2230,AK,"Skagway Municipality, Alaska",14.4%, 150 ,130%,SNAP,185%,Other Nutrition Program,31.4%,17.2%,51.4%,18.8%, 30 ,26%,74%,$3.44,"$88,000.00"
2240,AK,"Southeast Fairbanks Census Area, Alaska",15.4%," 1,060 ",130%,SNAP,185%,Other Nutrition Program,46.5%,24.1%,29.4%,22.1%, 410 ,78%,22%,$3.53,"$638,000.00"
2261,AK,"Valdez-Cordova Census Area, Alaska",11.5%," 1,090 ",130%,SNAP,185%,Other Nutrition Program,34.7%,17.2%,48.1%,16.5%, 370 ,46%,54%,$3.52,"$654,000.00"
2275,AK,"Wrangell City and Borough, Alaska",14.0%, 350 ,130%,SNAP,185%,Other Nutrition Program,49.2%,26.2%,24.6%,20.0%, 100 ,76%,24%,$3.57,"$213,000.00"
2282,AK,"Yakutat City and Borough, Alaska",13.6%, 90 ,130%,SNAP,185%,Other Nutrition Program,49.3%,37.2%,13.5%,19.3%, 30 ,86%,14%,$3.64,"$56,000.00"
2290,AK,"Yukon-Koyukuk Census Area, Alaska",23.2%," 1,270 ",130%,SNAP,185%,Other Nutrition Program,67.6%,14.1%,18.3%,33.3%, 510 ,80%,20%,$3.56,"$772,000.00"
4001,AZ,"Apache County, Arizona",24.2%," 17,330 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",83.8%,,16.2%,34.2%," 6,950 ",94%,6%,$3.08,"$9,109,000.00"
4003,AZ,"Cochise County, Arizona",13.9%," 17,580 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",69.0%,,31.0%,22.5%," 6,300 ",73%,27%,$2.89,"$8,677,000.00"
4005,AZ,"Coconino County, Arizona",18.0%," 24,950 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.0%,,36.0%,23.3%," 6,960 ",71%,29%,$3.23,"$13,770,000.00"
4007,AZ,"Gila County, Arizona",16.8%," 8,950 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",76.3%,,23.7%,27.1%," 2,940 ",82%,19%,$3.09,"$4,725,000.00"
4009,AZ,"Graham County, Arizona",14.7%," 5,540 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",67.0%,,33.0%,23.8%," 2,460 ",74%,26%,$2.94,"$2,781,000.00"
4011,AZ,"Greenlee County, Arizona",11.6%," 1,090 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",72.7%,,27.3%,19.5%, 520 ,62%,38%,$2.97,"$552,000.00"
4012,AZ,"La Paz County, Arizona",14.9%," 3,050 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",85.7%,,14.3%,25.9%, 880 ,85%,15%,$3.05,"$1,586,000.00"
4013,AZ,"Maricopa County, Arizona",13.7%," 571,060 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",66.0%,,34.0%,20.4%," 210,760 ",65%,35%,$3.08,"$300,180,000.00"
4015,AZ,"Mohave County, Arizona",16.8%," 34,330 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",72.4%,,27.6%,24.7%," 9,210 ",80%,20%,$3.06,"$17,898,000.00"
4017,AZ,"Navajo County, Arizona",20.9%," 22,590 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",78.5%,,21.5%,29.9%," 8,910 ",83%,17%,$2.94,"$11,322,000.00"
4019,AZ,"Pima County, Arizona",13.6%," 137,450 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",71.9%,,28.1%,21.2%," 46,370 ",70%,30%,$3.02,"$70,894,000.00"
4021,AZ,"Pinal County, Arizona",13.3%," 54,010 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",66.9%,,33.1%,21.3%," 20,590 ",72%,28%,$2.92,"$26,943,000.00"
4023,AZ,"Santa Cruz County, Arizona",9.6%," 4,440 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",100.0%,,0.0%,24.1%," 3,120 ",81%,19%,$2.54,"$1,922,000.00"
4025,AZ,"Yavapai County, Arizona",14.9%," 32,870 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.8%,,36.2%,21.3%," 8,090 ",68%,32%,$3.19,"$17,872,000.00"
4027,AZ,"Yuma County, Arizona",16.1%," 32,820 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",82.2%,,17.8%,30.7%," 16,260 ",78%,22%,$2.70,"$15,144,000.00"
5001,AR,"Arkansas County, Arkansas",19.4%," 3,550 ",130%,SNAP,185%,Other Nutrition Program,58.4%,18.3%,23.3%,23.8%," 1,000 ",74%,26%,$3.05,"$1,850,000.00"
5003,AR,"Ashley County, Arkansas",19.4%," 4,030 ",130%,SNAP,185%,Other Nutrition Program,59.5%,19.6%,20.9%,26.3%," 1,270 ",80%,20%,$2.99,"$2,055,000.00"
5005,AR,"Baxter County, Arkansas",13.9%," 5,720 ",130%,SNAP,185%,Other Nutrition Program,45.9%,23.1%,31.0%,22.3%," 1,610 ",78%,22%,$3.10,"$3,022,000.00"
5007,AR,"Benton County, Arkansas",11.1%," 27,900 ",130%,SNAP,185%,Other Nutrition Program,44.3%,18.0%,37.7%,18.9%," 12,830 ",62%,38%,$2.96,"$14,113,000.00"
5009,AR,"Boone County, Arkansas",14.6%," 5,420 ",130%,SNAP,185%,Other Nutrition Program,55.3%,22.1%,22.6%,23.4%," 1,980 ",84%,16%,$2.59,"$2,391,000.00"
5011,AR,"Bradley County, Arkansas",20.1%," 2,220 ",130%,SNAP,185%,Other Nutrition Program,68.1%,10.7%,21.2%,27.3%, 710 ,72%,29%,$2.95,"$1,117,000.00"
5013,AR,"Calhoun County, Arkansas",17.1%, 890 ,130%,SNAP,185%,Other Nutrition Program,62.9%,16.5%,20.6%,25.2%, 250 ,100%,0%,$2.90,"$441,000.00"
5015,AR,"Carroll County, Arkansas",12.3%," 3,430 ",130%,SNAP,185%,Other Nutrition Program,59.3%,15.1%,25.6%,21.6%," 1,340 ",71%,29%,$3.07,"$1,796,000.00"
5017,AR,"Chicot County, Arkansas",25.7%," 2,830 ",130%,SNAP,185%,Other Nutrition Program,67.1%,16.2%,16.7%,28.6%, 700 ,75%,26%,$2.90,"$1,400,000.00"
5019,AR,"Clark County, Arkansas",19.5%," 4,390 ",130%,SNAP,185%,Other Nutrition Program,51.7%,13.4%,35.0%,24.1%," 1,040 ",71%,29%,$3.07,"$2,297,000.00"
5021,AR,"Clay County, Arkansas",17.3%," 2,630 ",130%,SNAP,185%,Other Nutrition Program,61.2%,16.7%,22.1%,26.9%, 900 ,85%,15%,$2.61,"$1,174,000.00"
5023,AR,"Cleburne County, Arkansas",14.9%," 3,780 ",130%,SNAP,185%,Other Nutrition Program,49.7%,14.6%,35.7%,24.3%," 1,190 ",62%,38%,$3.15,"$2,033,000.00"
5025,AR,"Cleveland County, Arkansas",17.0%," 1,420 ",130%,SNAP,185%,Other Nutrition Program,50.8%,14.3%,35.0%,25.8%, 490 ,68%,32%,$2.96,"$716,000.00"
5027,AR,"Columbia County, Arkansas",22.1%," 5,310 ",130%,SNAP,185%,Other Nutrition Program,58.1%,10.4%,31.5%,26.3%," 1,340 ",64%,37%,$2.94,"$2,668,000.00"
5029,AR,"Conway County, Arkansas",17.1%," 3,590 ",130%,SNAP,185%,Other Nutrition Program,54.1%,19.0%,26.9%,25.1%," 1,210 ",79%,21%,$2.80,"$1,713,000.00"
5031,AR,"Craighead County, Arkansas",17.2%," 17,980 ",130%,SNAP,185%,Other Nutrition Program,54.0%,12.9%,33.2%,22.6%," 5,850 ",66%,34%,$2.74,"$8,411,000.00"
5033,AR,"Crawford County, Arkansas",13.8%," 8,600 ",130%,SNAP,185%,Other Nutrition Program,56.1%,18.4%,25.5%,22.8%," 3,540 ",79%,21%,$2.96,"$4,350,000.00"
5035,AR,"Crittenden County, Arkansas",23.8%," 11,750 ",130%,SNAP,185%,Other Nutrition Program,62.1%,17.5%,20.3%,26.1%," 3,560 ",67%,33%,$2.95,"$5,916,000.00"
5037,AR,"Cross County, Arkansas",18.5%," 3,170 ",130%,SNAP,185%,Other Nutrition Program,60.5%,17.5%,22.0%,23.9%, 990 ,75%,26%,$2.77,"$1,501,000.00"
5039,AR,"Dallas County, Arkansas",19.3%," 1,460 ",130%,SNAP,185%,Other Nutrition Program,43.1%,27.8%,29.1%,20.9%, 360 ,50%,50%,$2.94,"$732,000.00"
5041,AR,"Desha County, Arkansas",25.6%," 3,100 ",130%,SNAP,185%,Other Nutrition Program,76.1%,10.0%,13.8%,29.6%, 920 ,74%,26%,$2.89,"$1,529,000.00"
5043,AR,"Drew County, Arkansas",21.2%," 3,960 ",130%,SNAP,185%,Other Nutrition Program,59.6%,10.3%,30.1%,25.2%," 1,030 ",61%,39%,$2.99,"$2,022,000.00"
